 8638 xpcproxy	Created        /private/var/tmp/cy-wS22sw.dylib	
 8638 xpcproxy	Deleted        /private/var/tmp/cy-wS22sw.dylib	
 8638 xpcproxy	Modified       /private/var/tmp/cy-wS22sw.dylib	
 8638 xpcproxy	Created        /private/var/tmp/cy-kJiu0c.dylib	
 8638 xpcproxy	Deleted        /private/var/tmp/cy-kJiu0c.dylib	
 8638 xpcproxy	Modified       /private/var/tmp/cy-kJiu0c.dylib	
 8640 scp	Changed stat   /private/var/root/out.exec	
 8640 scp	Modified       /private/var/root/out.exec	
 8642 xpcproxy	Created        /private/var/tmp/cy-kTB2pt.dylib	
 8642 xpcproxy	Deleted        /private/var/tmp/cy-kTB2pt.dylib	
 8642 xpcproxy	Modified       /private/var/tmp/cy-kTB2pt.dylib	
 8642 xpcproxy	Created        /private/var/tmp/cy-bF8euH.dylib	
 8642 xpcproxy	Deleted        /private/var/tmp/cy-bF8euH.dylib	
 8642 xpcproxy	Modified       /private/var/tmp/cy-bF8euH.dylib	
 8645 out.exec	Changed stat   /private/var/root/run.out	
  308 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	
  308 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	
  308 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.cUZ4yq0	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
  308 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	
  308 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.ZT0Jz7N	
  624 assistantd	Created        /private/var/mobile/Library/Assistant/.dat.nosync0270.jQ2ehw	
  624 assistantd	Modified       /private/var/mobile/Library/Assistant/.dat.nosync0270.jQ2ehw	
  624 assistantd	Renamed        /private/var/mobile/Library/Assistant/.dat.nosync0270.jQ2ehw	/private/var/mobile/Library/Assistant/offlineSAMetrics.plist 
  624 assistantd	Changed xattr  /private/var/mobile/Library/Assistant/offlineSAMetrics.plist	
 8451 locationd	Created        /private/var/root/Library/Caches/locationd/.dat.nosync2103.8shaxn	
 8451 locationd	Modified       /private/var/root/Library/Caches/locationd/.dat.nosync2103.8shaxn	
